player_id,talent_score,count,average_talent_score,normalized_talent_score,classification,trend,id,name,club_id,new_id
1188084,3187.7999999999997,1,3187.7999999999997,22,ASPIRING,N/A,1188084,Andrea Occhione,11493,0f705c43
1188085,2934.3999999999996,1,2934.3999999999996,22,ASPIRING,N/A,1188085,Mattia Vitale,11493,188457c6
1188094,336.70000000000005,3,112.23333333333335,20,ASPIRING,N/A,1188094,Filippo Fregoli,4333,3e02b1d4
1188209,0.0,1,0.0,20,ASPIRING,N/A,1188209,Cesare Sommacal,55774,cc397cf9
1188232,1345.3999999999999,1,1345.3999999999999,21,ASPIRING,N/A,1188232,Maksym Vorobey,91714,7f9413ee
1188234,715.4,1,715.4,21,ASPIRING,N/A,1188234,Andrea Barcella,89690,3b9ddb1d
1188235,494.2,1,494.2,20,ASPIRING,N/A,1188235,Alexandro Ravelli,89690,9b9f1a54
1188238,0.0,2,0.0,20,ASPIRING,N/A,1188238,Lorenzo Coco,100330,5ff7e5fe
1188259,0.0,1,0.0,20,ASPIRING,N/A,1188259,Alberto Rizzi,50454,8ccf265d
1188345,3267.6,1,3267.6,23,ASPIRING,N/A,1188345,Lorenzo Del Pino,10959,8bed52d2
1188347,0.0,1,0.0,20,ASPIRING,N/A,1188347,Daniel Ossino,49777,a097de56
1188353,0.0,1,0.0,20,ASPIRING,N/A,1188353,Denis Intrabartolo,49755,fc9d98f3
1188358,0.0,1,0.0,20,ASPIRING,N/A,1188358,Tommaso Scodellaro,59916,24b6791f
1188480,1031.8,2,515.9,20,ASPIRING,N/A,1188480,Gianmarco Riezzo,25964,ae6deeea
1188485,4684.8,3,1561.6000000000001,21,ASPIRING,N/A,1188485,Andrea Karol Pirozzi,25964,815c52b8
1188512,4898.4,2,2449.2,22,ASPIRING,N/A,1188512,Davide Mariani,112584,6c7b2591
1188517,5264.4,4,1316.1,21,ASPIRING,N/A,1188517,Christian Ghibellini,112584,246b7c04
1188537,5607.599999999999,2,2803.7999999999997,22,ASPIRING,N/A,1188537,Matteo Martiner,26789,962cfc0a
1188538,4594.799999999999,2,2297.3999999999996,22,ASPIRING,N/A,1188538,Eliman Cham,1386,e1587376
1188539,4758.0,3,1586.0,21,ASPIRING,N/A,1188539,Giuseppe Coppola,26789,8ce5a034
1188586,3286.4,1,3286.4,23,ASPIRING,N/A,1188586,Alessandro Rossi,59913,7cd67beb
1188591,5513.2,1,5513.2,24,ASPIRING,N/A,1188591,Mattia Tomasella,76095,8c4267eb
1188594,4671.799999999999,2,2335.8999999999996,22,ASPIRING,N/A,1188594,Simone Rosciglioni,76095,0a681011
1188597,621.5999999999999,1,621.5999999999999,20,ASPIRING,N/A,1188597,Samuele Burattini,76095,4f7adc77
1188598,2700.6,1,2700.6,22,ASPIRING,N/A,1188598,Dennis Boni,76095,84671bdc
1188602,2563.3999999999996,1,2563.3999999999996,22,ASPIRING,N/A,1188602,Walter Cauteruccio,12819,516fa9be
1188605,4718.0,1,4718.0,24,ASPIRING,N/A,1188605,Luigi Picca,12819,07ec1de0
1188610,5286.4,3,1762.1333333333332,21,ASPIRING,N/A,1188610,Riccardo Anino,75900,672559f3
1188611,1493.8,3,497.93333333333334,20,ASPIRING,N/A,1188611,Jean Fiore,75900,53d62f67
1188613,2956.7999999999997,3,985.5999999999999,21,ASPIRING,N/A,1188613,Romeo Sandrucci,75900,58be202d
1188614,2931.6,3,977.1999999999999,21,ASPIRING,N/A,1188614,Carlo Carreri,75900,5a325ebb
1188615,4509.4,2,2254.7,22,ASPIRING,N/A,1188615,Gioele Conte,75900,0dd4a811
1188616,2377.2,3,792.4,21,ASPIRING,N/A,1188616,Arthur Spadoni,75900,00f18355
1188619,5714.8,3,1904.9333333333334,21,ASPIRING,N/A,1188619,Alessio Cacciamani,75900,7bdadc11
1188620,2275.0,3,758.3333333333334,21,ASPIRING,N/A,1188620,Lorenzo Grandi,75900,81eacd34
1188639,444.6,1,444.6,20,ASPIRING,N/A,1188639,Carlo Maria Testa,4338,05fb849f
1188642,5888.4,4,1472.1,21,ASPIRING,N/A,1188642,Gabriele Casentini,84451,74ea08bf
1188643,2948.3999999999996,2,1474.1999999999998,21,ASPIRING,N/A,1188643,Giorgio Chimezie,84451,f00a7540
1188644,3507.0,5,701.4,21,ASPIRING,N/A,1188644,Lorenzo Marchesi,84451,ab221591
1188645,2993.2,2,1496.6,21,ASPIRING,N/A,1188645,Filippo Montenet,84451,b5a98058
1188646,2671.2,2,1335.6,21,ASPIRING,N/A,1188646,Giulio Baciocchi,84451,97f1a8c2
1188647,2685.2,3,895.0666666666666,21,ASPIRING,N/A,1188647,Roberto Ozzano,84451,d1291dae
1188648,4502.4,2,2251.2,22,ASPIRING,N/A,1188648,Marco Campatelli,84451,f7231c24
1188649,3822.0,2,1911.0,21,ASPIRING,N/A,1188649,Filippo Alinovi,84451,25c00280
1188650,1216.6,1,1216.6,21,ASPIRING,N/A,1188650,Luca Marcellin,84451,8b844a25
1188651,3917.2,2,1958.6,22,ASPIRING,N/A,1188651,Leandro Ferrari,84451,6d36482f
1188652,2029.9999999999998,2,1014.9999999999999,21,ASPIRING,N/A,1188652,Eirinaios Papadimitriou,84451,4052f56b
1188653,4841.2,2,2420.6,22,ASPIRING,N/A,1188653,Luca De Oliveira,84451,91c69511
1188654,2686.5999999999995,2,1343.2999999999997,21,ASPIRING,N/A,1188654,Giacomo Iuliani,84451,42d5649a
1188655,2053.7999999999997,1,2053.7999999999997,22,ASPIRING,N/A,1188655,Mattia Zamuner,84451,2f44eaaa
1188661,396.2,1,396.2,20,ASPIRING,N/A,1188661,Andrea Pozzolini,76092,0a608e01
1188663,2703.3999999999996,2,1351.6999999999998,21,ASPIRING,N/A,1188663,Matteo Federici,76092,c5e6e48a
1188664,319.2,1,319.2,20,ASPIRING,N/A,1188664,Andrea Pavese,76092,4aac13c1
1188665,765.8,1,765.8,21,ASPIRING,N/A,1188665,Tommaso Piacenza,76092,6cb6cead
1188667,1118.6,1,1118.6,21,ASPIRING,N/A,1188667,Elia Spicuglia,76092,0d3594e3
1188668,2130.7999999999997,1,2130.7999999999997,22,ASPIRING,N/A,1188668,Mattia Mendolia,76092,3f7ec62c
1188669,1503.6,1,1503.6,21,ASPIRING,N/A,1188669,Riccardo Oddone,76092,0a3f11c2
1188670,0.0,1,0.0,20,ASPIRING,N/A,1188670,Andrea Curatelo,49744,040fc064
1188671,1271.1999999999998,1,1271.1999999999998,21,ASPIRING,N/A,1188671,Matteo Piazza,76092,3bf6bc45
1188771,1063.4,3,354.4666666666667,20,ASPIRING,N/A,1188771,Aymen Zouin,5380,7219969d
1188773,1406.6000000000001,2,703.3000000000001,21,ASPIRING,N/A,1188773,Edoardo Torrielli,27354,8362e8d9
1188774,0.0,2,0.0,20,ASPIRING,N/A,1188774,Davide Giammona,27354,0878ccb1
1188775,1611.3999999999999,2,805.6999999999999,21,ASPIRING,N/A,1188775,Leonardo Mattioli,27354,1c8afc1c
1188934,3452.3999999999996,1,3452.3999999999996,23,ASPIRING,N/A,1188934,Valerio Moretta,62257,f157515d
1188962,2254.2,2,1127.1,21,ASPIRING,N/A,1188962,Giovanni Di Stefano,31255,0b227708
1189070,0.0,1,0.0,20,ASPIRING,N/A,1189070,Luca Cocconi,27354,88fc84fa
1189072,4498.799999999999,3,1499.5999999999997,21,ASPIRING,N/A,1189072,Mattia Valori,4515,c62abec9
1189106,0.0,1,0.0,20,ASPIRING,N/A,1189106,David Menargues,57430,005f16fa
1189114,0.0,1,0.0,20,ASPIRING,N/A,1189114,Alessandro Agosta,22258,04645ed9
1189140,5782.0,4,1445.5,21,ASPIRING,N/A,1189140,Tommaso Gatto,75900,3d8e25c2
1189142,2048.2,1,2048.2,22,ASPIRING,N/A,1189142,Achille Colombo,76095,df7180c3
1189234,638.4,1,638.4,20,ASPIRING,N/A,1189234,Edoardo Buscetta,7170,85bcc50f
1189343,750.4,1,750.4,21,ASPIRING,N/A,1189343,Gian Domenico Panaro,14926,5e90e470
1189447,0.0,2,0.0,20,ASPIRING,N/A,1189447,Arthur Mazuy,2972,41e01ac6
1189454,1201.1999999999998,2,600.5999999999999,20,ASPIRING,N/A,1189454,Gabriel Disca,112584,1333fd5e
1189762,55.00000000000001,2,27.500000000000004,20,ASPIRING,N/A,1189762,Simone Formosa,2254,fe3e9f34
1189807,0.0,2,0.0,20,ASPIRING,N/A,1189807,Marco Basso,46664,41b99887
1189813,0.0,1,0.0,20,ASPIRING,N/A,1189813,Nicola Cavinato,31267,6b104759
1189846,392.0,1,392.0,20,ASPIRING,N/A,1189846,Gabriele De Simone,4163,76550956
1189851,2.4,2,1.2,20,ASPIRING,N/A,1189851,Nicolò Longagna,54575,8d84570b
1189916,3376.7999999999997,1,3376.7999999999997,23,ASPIRING,N/A,1189916,Francesco Milucci,26332,dc908a36
1189931,0.0,1,0.0,20,ASPIRING,N/A,1189931,Daniele Comi,4324,4c192345
1190028,5613.999999999999,3,1871.333333333333,21,ASPIRING,N/A,1190028,Piergiorgio Bonanno,75901,728d3ae6
1190045,331.79999999999995,1,331.79999999999995,20,ASPIRING,N/A,1190045,Luca Spigoni,20406,dbd00285
1190046,1061.2,2,530.6,20,ASPIRING,N/A,1190046,Francesco Marotta,76092,98a3a96d
1190047,4103.4,2,2051.7,22,ASPIRING,N/A,1190047,Daniel Ndulue,76092,7f045a58
1190208,3067.3999999999996,1,3067.3999999999996,22,ASPIRING,N/A,1190208,Antonino Pesce,8513,ef820f49
1190258,33.800000000000004,1,33.800000000000004,20,ASPIRING,N/A,1190258,Denny Bartolucci,38489,0cabae26
1190411,7793.5,4,1948.375,21,ASPIRING,N/A,1190411,Jesús Rodriguez,2865,cc92c411
1190423,137.2,1,137.2,20,ASPIRING,N/A,1190423,Zakaria Moussaid,2250,3dda4287
1190474,304.8,2,152.4,20,ASPIRING,N/A,1190474,Nizar Sabbar,20406,e6842078
1190495,608.4,1,608.4,20,ASPIRING,N/A,1190495,Lorenzo Insolito,76093,bc363da5
1190515,99.00000000000001,2,49.50000000000001,20,ASPIRING,N/A,1190515,Iker Abellán,34148,50dd2e59
