player_id,name,new_id,own_goals,yellow_cards,yellow_red_cards,red_cards,minutes_played,penalty_goals,minutes_per_goal,matches,goals,assists,to_nil,conceded_goals
994576,Jacopo Ciofi,8e1b6aba,1,7,0,0,4091,0,1159.0,53,1,8,0,0
995011,Jeremias Nunez,4c8fb71d,0,0,0,0,2129,0,0.0,27,0,1,0,0
995060,Daniele Di Giorgio,f441a0ac,0,1,0,0,360,0,0.0,4,0,0,1,5
995061,Francesco Mezzasoma,92539765,0,9,2,0,3780,0,3369.0,61,3,0,0,0
995062,Gabriele Di Paola,5805f84b,0,3,0,0,3600,0,0.0,57,0,2,0,0
995065,Alfred Hagbe,99cdf5d0,0,1,0,0,355,0,0.0,4,0,0,0,0
995070,Pietro Fiorini,fac5cd38,0,7,0,0,2706,2,18609090909091.0,55,11,6,0,0
995106,Filippo Cottini,21568235,0,1,0,0,824,0,380.0,15,1,0,0,0
995107,Andrea Ambrogi,f57e4588,0,7,1,0,3055,0,3037.0,51,3,1,0,0
995109,Denny Ciattaglia,e5cf7f0f,0,1,0,0,2359,0,63266666666667.0,43,3,1,0,0
995110,Nicholas Caprari,564120a1,0,2,0,0,2412,0,14808333333624.0,45,14,0,0,0
995417,Alessandro Scarfi,41dc59b9,0,0,0,0,1,0,0.0,1,0,0,0,0
995443,Matteo Del Canuto,4ab58bda,0,3,0,0,832,0,0.0,22,0,0,0,0
995464,Lorenzo Ferraro,7c2566cd,0,5,0,0,2576,0,1139.5,40,5,2,0,0
995472,Gianmarco Di Biase,30c3fbad,0,6,0,0,2392,0,17533333333333.0,43,12,3,0,0
995863,Archie Whitehall,0547eba4,0,11,0,0,3072,0,2188.5,45,5,3,0,0
995864,Jack Bates,362f1032,0,11,0,0,3337,0,0.0,50,0,2,0,0
995969,Miguel de la Peña,43933a2f,0,0,0,0,1,0,0.0,1,0,0,0,0
995988,Javier Sola,c0d9f8c4,0,3,0,0,1159,0,340.0,26,1,0,0,0
996418,Pablo Meixús,af271728,0,4,1,0,2152,0,0.0,38,0,0,0,0
996453,Maat Daniel Caprini,e54139cd,0,2,0,0,4715,0,80333333333925.8,75,32,8,0,0
996673,Francesco Pasquire,7ff2f1af,0,1,0,0,497,0,0.0,7,0,0,0,0
996680,Giovanni Amato,3b17addf,0,2,0,1,2730,0,2480.0,56,3,3,0,0
996771,Vincenzo Rana,275cfe65,0,1,0,0,1127,0,0.0,25,0,0,0,0
996814,Marin Cubretovic,14d3a95a,0,0,0,0,2619,0,1930.0,47,6,0,0,0
996865,Nicola Testoni,2afd1b03,0,2,0,0,1170,0,0.0,13,0,0,6,17
997205,Nathan Morana,f51a69e6,0,0,0,0,571,0,0.0,7,0,0,1,20
997206,Lovro Gubijan,38f28e8d,1,11,0,0,3835,0,2297.0,56,2,5,0,0
997552,Léo Milliner,9f7e7118,0,6,0,1,3648,2,24257142857789.5,53,9,6,0,0
997566,Simon Kalambayi,574acdc6,0,3,0,0,4184,0,1518.35,63,18,4,0,0
997772,Theo Janotta,6d0a84ed,0,7,0,1,5486,0,79766666667248.8,64,8,0,0,0
997888,Christy Grogan,c83c72af,1,2,0,1,4102,0,1890.0,51,1,1,0,0
997906,Alessio Chiesa,dd18f856,0,6,0,0,2749,0,0.0,38,0,0,0,0
997907,Alessandro Ventre,2765a358,0,7,0,0,3667,0,1760.0,58,2,2,0,0
997908,Mattia Arrigoni,b18052d4,0,11,0,0,4460,0,20083333334530.0,69,8,6,0,0
997909,Tommaso Ravaglioli,69fb3e13,0,6,0,0,5539,9,96872222223490.75,90,45,11,0,0
999229,Jérémy Sebas,6928c1e3,0,3,0,0,2631,1,13216666667170.5,55,12,2,0,0
999271,Lorenzo Piras,41dd05af,0,2,0,0,3060,0,0.0,34,0,0,16,24
999365,Mattia Piermarini,17982492,0,9,0,1,4624,0,0.0,55,0,0,0,0
999387,Christian Roseti,a12b9d29,0,3,0,1,1576,0,24216666666667.0,27,6,0,0,0
999402,Diego Sia,0ca1ce37,0,7,0,0,5777,2,77082417582883.6,97,37,10,0,0
999404,Leonardo Consiglio,8d957cb8,0,1,0,1,3178,0,0.0,35,0,0,10,47
999430,Matteo Carniello,b862c103,0,0,0,0,1368,0,0.0,16,0,0,2,30
999506,Davis Rath,618f9798,0,3,0,0,3728,7,21883333333547.25,45,14,7,0,0
999512,Alberto Giacchina,3b1a4a9f,0,2,0,0,861,0,278.0,24,1,1,0,0
999550,Antonio Di Bella,5126bdba,0,0,0,0,0,0,0.0,0,0,0,0,0
999557,Alexander Attuoni,84bee181,0,9,0,0,1737,0,1302.0,33,1,1,0,0
999733,Manuel Andreotti,d234b31b,0,2,0,1,1517,0,0.0,39,0,1,0,0
999735,Leonardo Barsotti,d9ebbe10,0,3,0,0,1902,0,45666666666667.0,31,3,1,0,0
999743,James Rowswell,6682a65b,0,0,0,0,821,0,582.0,14,1,0,0,0
999744,Leo Black,b760c5a2,0,11,0,0,2929,0,547.0,41,6,7,0,0
999745,Damola Ajayi,1ee69cf8,0,7,0,0,3798,1,26339393939828.0,63,23,10,0,0
999859,Giacomo Seminari,c15a1584,0,3,1,0,3434,0,1446.75,46,7,4,0,0
1000135,Joselu Pérez,b39f039e,0,5,0,0,1343,0,38033333333333.0,33,3,0,0,0
1000136,Gorka Rivera,78440077,0,3,0,0,568,0,0.0,7,0,0,0,0
1000146,Elie Kayembe,313b9243,0,3,0,0,3280,0,1943.0,45,2,1,0,0
1000301,Ethan Kohler,8e7fae73,1,4,0,0,3008,0,108.0,43,1,4,0,0
1000410,Oscar De Pizzol,d0565f1d,1,1,0,0,1102,1,99022.0,18,9,0,0,0
1000568,Omar Cisse,1d61f8c6,0,1,0,1,2695,0,872.0,35,3,1,0,0
1000828,Sidi Bane,acde3866,1,3,0,0,3491,0,43533333334094.0,46,5,0,0,0
1001521,Matteo Giangregorio,f82b8583,0,1,0,0,1697,0,0.0,19,0,0,6,25
1001578,Dean Vranici,e34f681b,0,7,0,2,4406,0,1406.5,74,13,2,0,0
1001630,Ozan Hot,2707a317,0,4,1,0,1493,0,270.0,26,1,2,0,0
1001797,Lassana Diabaté,498c1805,0,3,0,0,6115,0,0.0,68,0,0,22,84
1001799,Valdir Fonseca,d6d911ca,0,4,0,0,4158,0,50500000000742.0,78,20,1,0,0
1001920,Tommaso Nistor,47e365da,0,0,0,0,2136,0,0.0,44,0,0,0,0
1002462,Gabriele Finocchiaro,db9b3891,0,2,0,0,2622,0,801.3,58,15,9,0,0
1002758,Giacomo Maucci,39272444,0,5,0,0,4883,2,22085714288556.0,65,11,6,0,0
1003434,Kristofers Baumanis,faef0ada,0,1,0,0,1497,0,384.0,31,1,0,0,0
1003530,Jamal Mohammed,127f3286,0,3,0,1,1574,0,0.0,21,0,0,0,0
1003705,Edgars Pavlenko,9b954deb,0,4,0,0,2250,0,15583333333423.0,30,14,0,0,0
1003807,Antoine Ortega,40ff4d64,0,7,0,0,1218,0,0.0,32,0,0,0,0
1003914,Roberts Bocs,5cdd5005,0,2,0,0,4293,2,13366666667850.2,70,21,3,0,0
1003925,Henrijs Auseklis,7d17e3d2,0,5,0,0,3577,0,0.0,41,0,0,9,67
1003933,Mattia Puzone,cff051ba,0,8,1,0,2380,0,733.0,41,1,1,0,0
1004298,Carlos López,d2ffae4b,0,0,0,0,810,0,0.0,8,0,0,3,6
1004301,Jérémy Jacquet,5cedfe4a,2,9,1,1,5578,2,1753.0,74,7,2,0,0
1004344,Ali Dembélé,f44868df,0,8,0,0,5566,0,950.5,78,3,8,0,0
1004391,Massimiliano Silvestri,3fe9a698,0,2,0,0,1186,0,343.0,38,1,2,0,0
1004395,Paul Louis Savinaud,54213d4b,0,0,0,0,1212,0,818.0,26,1,0,0,0
1004488,Tommaso Fazio,0043c897,0,5,0,0,3005,0,1474.75,39,5,2,0,0
1004498,Noah Marec,2e3683fe,0,0,0,0,2610,0,0.0,29,0,0,8,43
1004502,Aymeric Faurand-Tournaire,f2810552,0,6,0,0,3329,0,1045.25,53,14,2,0,0
1004516,Lucas Terrer,a73cecb2,0,0,0,0,623,0,0.0,22,0,0,0,0
1004518,Carles Sogorb,f156f257,0,1,0,0,669,0,115.0,9,1,0,0,0
1004522,Tommy Le Verge,d47fb139,0,7,0,0,3372,0,0.0,42,0,0,0,0
1004525,Pierre Marques,f973e42a,0,1,0,0,2037,0,1963.0,34,2,0,0,0
1004608,Malang Gomes,bd287d71,0,13,0,1,5365,0,43733333335610.5,71,7,1,0,0
